"Notes"	"Census Region"	"Census Region Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"< 1 year"	"0"	"1999"	"1999"	"Male"	"M"	12	66787	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"< 1 year"	"0"	"2000"	"2000"	"Male"	"M"	12	66517	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"< 1 year"	"0"	"2001"	"2001"	"Male"	"M"	10	69452	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"< 1 year"	"0"	"2005"	"2005"	"Male"	"M"	10	63007	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"28 years"	"28"	"2002"	"2002"	"Male"	"M"	12	79300	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"29 years"	"29"	"2020 "	"2020"	"Male"	"M"	12	92333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"30 years"	"30"	"2003"	"2003"	"Male"	"M"	12	79213	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"30 years"	"30"	"2009"	"2009"	"Male"	"M"	10	85579	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"30 years"	"30"	"2011"	"2011"	"Male"	"M"	13	86071	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"30 years"	"30"	"2017"	"2017"	"Male"	"M"	11	95690	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"30 years"	"30"	"2020 "	"2020"	"Male"	"M"	11	95596	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"31 years"	"31"	"2001"	"2001"	"Male"	"M"	13	92466	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"31 years"	"31"	"2002"	"2002"	"Male"	"M"	14	86613	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"31 years"	"31"	"2005"	"2005"	"Male"	"M"	11	73223	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"31 years"	"31"	"2008"	"2008"	"Male"	"M"	11	78175	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"31 years"	"31"	"2010"	"2010"	"Male"	"M"	10	78936	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"31 years"	"31"	"2015"	"2015"	"Male"	"M"	10	89267	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"31 years"	"31"	"2018"	"2018"	"Male"	"M"	10	92787	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"31 years"	"31"	"2020 "	"2020"	"Male"	"M"	10	92867	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"32 years"	"32"	"1999"	"1999"	"Male"	"M"	11	86450	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"32 years"	"32"	"2000"	"2000"	"Male"	"M"	11	84826	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"32 years"	"32"	"2001"	"2001"	"Male"	"M"	11	84547	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"32 years"	"32"	"2003"	"2003"	"Male"	"M"	10	84275	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"32 years"	"32"	"2004"	"2004"	"Male"	"M"	14	77870	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"32 years"	"32"	"2007"	"2007"	"Male"	"M"	12	74531	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"32 years"	"32"	"2008"	"2008"	"Male"	"M"	16	74686	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"32 years"	"32"	"2009"	"2009"	"Male"	"M"	13	77229	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"32 years"	"32"	"2010"	"2010"	"Male"	"M"	13	78166	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"32 years"	"32"	"2014"	"2014"	"Male"	"M"	10	86406	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"32 years"	"32"	"2016"	"2016"	"Male"	"M"	11	87435	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"32 years"	"32"	"2017"	"2017"	"Male"	"M"	11	92182	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"1999"	"1999"	"Male"	"M"	16	86370	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2000"	"2000"	"Male"	"M"	10	84032	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2001"	"2001"	"Male"	"M"	12	82854	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2002"	"2002"	"Male"	"M"	12	82005	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2003"	"2003"	"Male"	"M"	15	87279	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2005"	"2005"	"Male"	"M"	12	74979	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2006"	"2006"	"Male"	"M"	11	70900	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2007"	"2007"	"Male"	"M"	10	69317	Unreliable
